"Date,Open,High,Low,Close ,Adj Close ,Volume"
"9-Aug-24,529.81,534.51,528.56,532.99,527.99,""45,619,600"""
"8-Aug-24,523.91,531.29,521.84,530.65,525.67,""63,276,600"""
"7-Aug-24,528.47,531.59,518.05,518.66,513.79,""70,698,300"""
"6-Aug-24,519.22,529.75,517.87,522.15,517.25,""84,826,300"""
"5-Aug-24,511.64,523.58,510.27,517.38,512.53,""146,267,400"""
"2-Aug-24,535.75,536.99,528.6,532.9,527.9,""82,789,100"""
"1-Aug-24,552.57,554.87,539.43,543.01,537.92,""76,428,700"""
"31-Jul-24,548.98,553.5,547.58,550.81,545.64,""65,663,400"""
"30-Jul-24,546.26,547.34,538.52,542,536.91,""46,853,600"""
"29-Jul-24,546.02,547.05,542.72,544.76,539.65,""39,515,800"""
"26-Jul-24,542.28,547.19,541.49,544.44,539.33,""53,763,800"""
"25-Jul-24,541.35,547.46,537.45,538.41,533.36,""61,158,300"""
"24-Jul-24,548.86,549.17,540.29,541.23,536.15,""74,515,300"""
"23-Jul-24,554.54,556.74,553.28,553.78,548.58,""34,439,600"""
"22-Jul-24,553,555.27,551.02,554.65,549.45,""43,346,700"""
"19-Jul-24,552.42,554.08,547.91,548.99,543.84,""65,509,100"""
"18-Jul-24,558.51,559.52,550.43,552.66,547.47,""56,270,400"""
"17-Jul-24,558.8,560.51,556.61,556.94,551.71,""57,119,000"""
"16-Jul-24,562.87,565.16,562.1,564.86,559.56,""36,475,300"""
"15-Jul-24,562.03,564.84,559.63,561.53,556.26,""40,584,300"""
"12-Jul-24,557.63,563.67,557.15,559.99,554.74,""53,084,400"""
"11-Jul-24,561.44,562.33,555.83,556.48,551.26,""53,054,200"""
"10-Jul-24,557.07,561.67,556.77,561.32,556.05,""38,701,200"""
"9-Jul-24,556.26,557.18,555.52,555.82,550.61,""27,289,700"""
"8-Jul-24,555.44,556.25,554.19,555.28,550.07,""36,110,500"""
"5-Jul-24,551.77,555.05,551.12,554.64,549.44,""41,488,400"""
"3-Jul-24,548.69,551.83,548.65,551.46,546.29,""32,789,900"""
"2-Jul-24,543.7,549.01,543.65,549.01,543.86,""40,434,800"""
"1-Jul-24,545.63,545.88,542.52,545.34,540.22,""40,297,800"""
"28-Jun-24,547.16,550.28,542.95,544.22,539.11,""76,144,500"""
"27-Jun-24,545.37,546.96,544.61,546.37,541.24,""35,041,500"""
"26-Jun-24,543.69,546.24,543.03,545.51,540.39,""38,550,600"""
"25-Jun-24,543.99,545.2,542.44,544.83,539.72,""38,273,300"""
"24-Jun-24,544.33,546.95,542.62,542.74,537.65,""45,528,700"""
"21-Jun-24,1.759 Dividend,,,,,"
"21-Jun-24,544.4,545.65,543.02,544.51,539.4,""64,513,900"""
"20-Jun-24,549.44,550.12,545.18,547,540.13,""70,328,200"""
"18-Jun-24,547.16,548.62,546.73,548.49,541.6,""41,376,400"""
"17-Jun-24,542.08,548.53,541.61,547.1,540.22,""55,839,500"""
"14-Jun-24,540.88,542.81,539.85,542.78,535.96,""40,089,900"""
"13-Jun-24,543.15,543.33,539.59,542.45,535.63,""44,760,900"""
"12-Jun-24,541.63,544.12,540.3,541.36,534.56,""63,251,300"""
"11-Jun-24,534.07,537.01,532.05,536.95,530.2,""36,383,400"""
"10-Jun-24,533.18,535.99,532.57,535.66,528.93,""35,729,300"""
"7-Jun-24,533.66,536.89,532.54,534.01,527.3,""43,224,500"""
"6-Jun-24,534.98,535.42,532.68,534.66,527.94,""30,808,500"""
"5-Jun-24,530.77,534.69,528.73,534.67,527.95,""47,610,400"""
"4-Jun-24,526.46,529.15,524.96,528.39,521.75,""34,632,700"""
"3-Jun-24,529.02,529.31,522.6,527.8,521.17,""46,835,700"""
"31-May-24,523.59,527.5,518.36,527.37,520.74,""90,785,800"""
"30-May-24,524.52,525.2,521.33,522.61,516.04,""46,468,500"""
"29-May-24,525.68,527.31,525.37,526.1,519.49,""45,190,300"""
"28-May-24,530.27,530.51,527.11,529.81,523.15,""36,269,600"""
"24-May-24,527.85,530.27,526.88,529.44,522.79,""41,258,400"""
"23-May-24,532.96,533.07,524.72,525.96,519.35,""57,211,200"""
"22-May-24,530.65,531.38,527.6,529.83,523.17,""48,390,000"""
"21-May-24,529.28,531.52,529.07,531.36,524.68,""33,437,000"""
"20-May-24,529.57,531.56,529.17,530.06,523.4,""37,764,200"""
"17-May-24,528.81,529.52,527.32,529.45,522.8,""59,187,600"""
"16-May-24,529.88,531.52,528.54,528.69,522.05,""50,244,800"""
"15-May-24,525.83,530.08,525.18,529.78,523.12,""59,504,900"""
"14-May-24,521.11,523.83,520.56,523.3,516.72,""57,535,900"""
"13-May-24,522.56,522.67,519.74,520.91,514.36,""36,716,400"""
